date,ESP EPDM USD 2021,EPDM rubber: North America,Carbon black: North America,Energy: North America,Ethylene: North America,Crude Oil: North America,Gas: North America,Ammonia: North America
2019-01,0.999596042,0.995145631,0.985,1.099526066,0.842857143,1.285251908,0.925566343,1.068376068
2019-02,0.999804818,1,0.99,0.990521327,0.866666667,1.303755725,0.932038835,1.094017094
2019-03,1.000992875,1.012135922,0.995,0.947867299,0.9,1.31670229,0.964401294,1.102564103
2019-04,0.999895031,1.02184466,0.995,0.957345972,0.928571429,1.255633588,1.045307443,1.094017094
2019-05,0.999214738,1.02184466,0.9975,0.976303318,0.961904762,1.128977099,1.132686084,1.076923077
2019-06,0.998673194,1.014563107,0.9975,1,0.985714286,1.008549618,1.122977346,1.042735043
2019-07,1,1,1,1,1,1,1,1
2019-08,1.00186835,0.983009709,1.005,0.943127962,1,1.056610687,0.867313916,0.957264957
2019-09,1.004331006,0.970873786,1.0125,0.909952607,1,1.131969466,0.789644013,0.923076923
2019-10,1.004925312,0.961165049,1.02,0.895734597,1,1.167145038,0.760517799,0.888888889
2019-11,1.00263941,0.951456311,1.0225,0.886255924,0.995238095,1.144061069,0.708737864,0.863247863
2019-12,1.001021041,0.949029126,1.0175,0.890995261,0.980952381,1.103145038,0.67961165,0.846153846
2020-01,1.004311902,0.953883495,1.0075,0.90521327,0.961904762,1.058320611,0.644012945,0.854700855
2020-02,1.009253698,0.95631068,0.9975,0.938388626,0.942857143,1.067969466,0.660194175,0.863247863
2020-03,1.012219627,0.95631068,0.99,0.933649289,0.933333333,1.045984733,0.669902913,0.871794872
2020-04,1.012562226,0.953883495,0.985,0.872037915,0.923809524,1.059419847,0.715210356,0.871794872
2020-05,1.012313498,0.951456311,0.9825,0.720379147,0.90952381,1.077007634,0.705501618,0.863247863
2020-06,1.013452335,0.95631068,0.98,0.563981043,0.885714286,1.100152672,0.67961165,0.854700855
2020-07,1.01474747,0.953883495,0.9725,0.545023697,0.857142857,1.061435115,0.598705502,0.837606838
2020-08,1.016904107,0.944174757,0.9525,0.620853081,0.823809524,0.874442748,0.537216828,0.829059829
2020-09,1.018183483,0.944174757,0.925,0.672985782,0.8,0.633770992,0.488673139,0.811965812
2020-10,1.017020659,0.939320388,0.8875,0.701421801,0.79047619,0.498442748,0.475728155,0.803418803
2020-11,1.015857836,0.927184466,0.86,0.710900474,0.8,0.546870229,0.459546926,0.786324786
2020-12,1.016194536,0.917475728,0.8425,0.710900474,0.819047619,0.674687023,0.462783172,0.777777778
2021-01,1.024566702,0.910194175,0.8475,0.734597156,0.838095238,0.750839695,0.508090615,0.777777778
2021-02,1.032078999,0.90776699,0.86,0.796208531,0.857142857,0.756458015,0.566343042,0.794871795
2021-03,1.038350555,0.917475728,0.88,0.895734597,0.871428571,0.746137405,0.647249191,0.829059829
2021-04,1.037309371,0.92961165,0.8975,0.962085308,0.885714286,0.739725191,0.71197411,0.88034188
2021-05,1.044609798,0.939320388,0.9175,0.985781991,0.904761905,0.784183206,0.792880259,0.965811966
2021-06,1.053382609,0.958737864,0.9375,1,0.923809524,0.859175573,0.899676375,1.085470085
2021-07,1.062244667,0.985436893,0.96,1.033175355,0.947619048,0.96519084,1.029126214,1.222222222
2021-08,1.063563224,1.024271845,0.985,1.104265403,0.966666667,1.057038168,1.012944984,1.367521368
2021-09,1.067016442,1.065533981,1.0125,1.17535545,0.99047619,1.11578626,0.944983819,1.504273504
2021-10,1.072972616,1.099514563,1.0425,1.208530806,1.004761905,1.150961832,0.860841424,1.623931624
2021-11,1.099373824,1.128640777,1.0725,1.289099526,1.014285714,1.201465649,0.938511327,1.717948718
2021-12,1.119707545,1.155339806,1.1025,1.473933649,1.014285714,1.264916031,1.074433657,1.820512821
2022-01,1.138857713,1.177184466,1.1275,1.535545024,1.019047619,1.282748092,1.213592233,1.965811966
2022-02,1.142686243,1.194174757,1.1475,1.497630332,1.023809524,1.288366412,1.443365696,2.170940171
2022-03,1.164649025,1.218446602,1.1625,1.530805687,1.028571429,1.343816794,1.737864078,2.418803419
2022-04,1.183873522,1.245145631,1.18,1.611374408,1.028571429,1.41178626,1.948220065,2.683760684
2022-05,1.207233569,1.269417476,1.205,1.857819905,1.033333333,1.416122137,1.980582524,2.948717949
2022-06,1.224432644,1.29368932,1.24,1.976303318,1.047619048,1.429862595,1.83171521,3.162393162
2022-07,1.247405745,1.317961165,1.28,1.933649289,1.066666667,1.507358779,1.779935275,3.299145299
2022-08,1.260827125,1.337378641,1.3275,2.018957346,1.085714286,1.73129771,1.851132686,3.35042735
2022-09,1.264949879,1.361650485,1.375,2.099526066,1.1,1.853740458,2.035598706,3.358974359
2022-10,1.26520335,1.378640777,1.4225,2.18957346,1.10952381,1.974167939,2.258899676,3.324786325
2022-11,1.269592848,1.381067961,1.46,2.156398104,1.095238095,2.019175573,2.446601942,3.264957265
2022-12,1.276052177,1.383495146,1.4825,1.924170616,1.071428571,2.026625954,2.605177994,3.205128205
2023-01,1.278755011,1.383495146,1.4825,1.777251185,1.033333333,1.939175573,2.912621359,3.170940171
2023-02,1.279478244,1.395631068,1.4675,1.753554502,0.99047619,1.775389313,3.038834951,3.162393162
2023-03,1.279657297,1.419902913,1.45,1.677725118,0.957142857,1.700458015,2.838187702,3.170940171
